episode,collision_0,collision_1,collision_2,collision_3,collision_4,collision_5,collision_6,collision_7,collision_8,collision_9,collision_10,collision_11,collision_12,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,reward_6,reward_7,reward_8,reward_9,reward_10,reward_11,reward_12,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11,loss_12
57,2,4,0,0,0,2,0,0,2,0,0,0,2,-40,-29.707712347231343,-29.862793221257064,-20,-40,-22.362269431236573,-15.771484279820543,-20,-4.032889192769669,-28.47183234934864,-20,-40,-18.191019083916153,-0.018208258,-0.09366833,0.045878783,-0.039591607,0.26834023,-0.018985448,0.24054402,-0.053500365,0.015306444,-0.08086103,0.023096161,0.09375886,0.026703427
58,0,2,2,0,0,0,0,0,1,3,0,0,0,-16.015434236972045,-32.52188824275221,-40,-34.115557860221024,-40,-20,-22.577442316136466,-20,-23.740440077155405,-6.365473661401453,-40,-25.865727133365283,-29.567783818472957,-0.065802515,0.015945075,0.19415165,0.08318825,-0.031071672,-0.1193222,0.21544813,-0.11715303,-0.049190603,0.062936164,-0.15199271,0.030041475,-0.11364467
59,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-28.99447970009979,-2.4545622848955766,-36.72949523054211,-23.578264176663968,-40,-40,-40,-17.709883020210142,-37.08374112069223,-20,-20,-28.298034690933928,0.243141,0.13136773,-0.15093249,0.13475242,0.29534188,-0.03370104,0.30382037,0.029988712,0.068117514,-0.0006555939,0.018351765,0.046167765,-0.11899614
60,0,2,3,1,1,0,0,0,0,1,0,0,2,-20,-20,-2.495942389520225,-40,-25.38943012098712,-22.12445496753815,-40,-20,-20,-40,-20,-40,0,0.0014301789,-0.036460783,0.10855092,0.034415398,0.012893884,0.041887544,-0.06330499,0.041473076,-0.14847225,-0.057322226,0.05396674,-0.15293035,0.033105038
61,0,3,2,0,0,0,0,0,1,0,4,0,0,-23.687686330024963,-40,-40,-24.480630738174483,-40,-21.25035205063661,-40,-23.91446385854378,0,-23.31651740158906,-24.019853011722653,-40,-36.302345323542355,0.25273702,0.04459914,0.10096857,0.13923869,0.06619808,0.011116972,0.030304246,0.11065415,0.26489747,0.07377385,-0.09620775,0.028780613,-0.09539345
62,0,1,3,0,0,0,0,0,1,0,3,0,0,-20,-20,-20,-20,-20,-23.146963481883535,-20,-40,-8.542529960629864,-20,-24.442574862077482,0,-20,-0.11679724,0.027557362,0.09617919,0.07775716,-0.06417976,-0.07864001,-0.14753923,0.0455372,-0.065107204,0.012525617,-0.13166055,-0.13694677,-0.116750024
63,0,0,1,0,0,0,1,0,0,0,0,0,0,-23.427282468792573,0,-40,-24.136897196119282,-22.291563804045094,-20,-11.655293317342206,-40,-20,-20,-20,-5.139508916969082,-9.661745616194281,0.14023766,-0.25229642,-0.047225107,-0.08695864,-0.02236224,0.15756206,0.26909038,-0.07646511,-0.059003558,0.14854053,0.18872072,0.054626856,-0.047594663
64,2,0,0,0,0,0,0,0,0,0,2,0,0,-23.35640145188032,-5.1891634497663155,-6.35328713618369,-29.331560599632972,-20,-20,-20,-35.73796267415782,-20,-40,-20,-29.84672042196688,-20,0.046781085,0.014999107,0.027537383,0.10005255,0.037427478,0.24869873,0.11198902,0.02208953,0.025649954,-0.06948021,0.06758265,-0.06207618,0.2860064
65,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,-20,-22.228055569824175,-40,-20,-40,-24.194107390775,-20,-40,-20,-22.66612030989099,-40,-0.01938306741786855,-0.23747501,0.034526315,-0.06860671,0.103643045,0.1846368,0.034221195,0.26896018,-0.0062397183,-0.15139572,0.052337267,0.04809085,-0.16533054,-0.11995463
66,3,2,0,1,0,0,0,0,0,0,4,0,0,-23.18373828761964,-22.94002716914267,-20,-31.705093225637782,-20,-22.790248332966986,-40,-22.211298274551215,-22.376025138299042,-5.139511432474654,0,-20,-7.636579175369667,-0.1441071,-0.19309017,-0.050224684,0.008836746,0.0191767,0.15814504,0.046309613,0.02563525,-0.04268024,0.15032789,-0.004410548,0.082778595,0.011825699
